排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
561,Intel Core i7 11375H,2084,4,8,3.0-3.3GHz,2021.01,https://www.topcpu.net/cpu/intel-core-i7-11375h
562,AMD Ryzen 5 5600F,2084,6,12,3.0GHz,2025.09,https://www.topcpu.net/cpu/amd-ryzen-5-5600f
563,Intel Xeon w5-2455X,2081,12,24,3.2GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w5-2455x
564,AMD Ryzen 9 5900,2080,12,24,3.0GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5900
565,Intel Core i5 1240P,2079,12,16,1.7GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i5-1240p
566,Intel Xeon E-2314,2077,4,4,2.8GHz,2021.09,https://www.topcpu.net/cpu/intel-xeon-e-2314
567,Intel Core i7 12800H,2075,14,20,2.4GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12800h
568,AMD EPYC 9654P,2075,96,192,2.4GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9654p
569,AMD EPYC Embedded 9654P,2075,96,192,2.4GHz,2023.03,https://www.topcpu.net/cpu/amd-epyc-embedded-9654p
570,Intel Xeon w7-2595X,2073,26,52,2.8GHz,2024.08,https://www.topcpu.net/cpu/xeon-w7-2595x
571,Intel Xeon Gold 6434H,2069,8,16,3.7GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-gold-6434h
572,AMD Ryzen 5 5600GT,2066,6,12,3.6GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-5-5600gt
573,Intel Xeon w3-2435,2065,8,16,3.1GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w3-2435
574,Intel Core i5 11500,2064,6,12,2.7GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i5-11500
575,Intel Core 7 251E,2064,24,32,2.1GHz,2025.01,https://www.topcpu.net/cpu/intel-core-7-251e
576,Intel Core i7 11800H,2060,8,16,1.9-2.3GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i7-11800h
577,AMD Ryzen 7 5700G,2058,8,16,3.8GHz,2021.04,https://www.topcpu.net/cpu/amd-ryzen-7-5700g
578,AMD Ryzen 7 250,2058,8,16,3.3GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-7-250
579,AMD Ryzen 7 5800,2051,8,16,3.4GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-7-5800
580,AMD Ryzen Threadripper PRO 5945WX,2047,12,24,4.1GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-5945wx
581,AMD Ryzen 9 5980HX,2047,8,16,3.3GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5980hx
582,AMD Ryzen 7 170,2044,8,16,3.2GHz,2025.10,https://www.topcpu.net/cpu/amd-ryzen-7-170
583,Intel Core i3 1210U,2041,6,8,1.0GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i3-1210u
584,Intel Core i5 12400T,2041,6,12,1.8GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12400t
585,AMD EPYC Embedded 9554P,2040,64,128,3.1GHz,2023.03,https://www.topcpu.net/cpu/amd-epyc-embedded-9554p
586,AMD EPYC 9554P,2040,64,128,3.1GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9554p
587,AMD Ryzen 9 5900H,2034,8,16,3.3GHz,2021.04,https://www.topcpu.net/cpu/amd-ryzen-9-5900h
588,Intel Core i7 13850HX,2033,20,28,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13850hx
