排名,名称,跑分,规格,上市时间,详情页
60,Samsung Exynos 1580,1360,8C @ 2900MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/samsung-exynos-1580
61,Qualcomm Snapdragon 7 Gen 4,1352,8C @ 2800MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-7-gen-4
62,HiSilicon Kirin 8020,1350,8C @ 2285MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/hisilicon-kirin-8020
63,HiSilicon Kirin 9000S,1334,8C @ 2620MHz  - 2023.08,2023.08,https://www.topcpu.net/cpu/hisilicon-kirin-9000s
64,Apple A12X Bionic,1326,8C @ 2500MHz  - 2018.10,2018.10,https://www.topcpu.net/cpu/apple-a12x-bionic
65,Apple A12Z Bionic,1322,8C @ 2500MHz  - 2020.03,2020.03,https://www.topcpu.net/cpu/apple-a12z-bionic
66,Google Tensor,1317,8C @ 2800MHz  - 2021.10,2021.10,https://www.topcpu.net/cpu/google-tensor
67,Apple A12 Bionic,1301,6C @ 2490MHz  - 2018.09,2018.09,https://www.topcpu.net/cpu/apple-a12-bionic
68,MediaTek Dimensity 8350,1285,8C @ 3350MHz  - 2024.11,2024.11,https://www.topcpu.net/cpu/mediatek-dimensity-8350
69,HiSilicon Kirin 9000,1266,8C @ 3130MHz  - 2020.10,2020.10,https://www.topcpu.net/cpu/hisilicon-kirin-9000
70,MediaTek Dimensity 1300,1242,8C @ 3000MHz  - 2022.03,2022.03,https://www.topcpu.net/cpu/mediatek-dimensity-1300
71,Qualcomm Snapdragon 888 Plus,1230,8C @ 2995MHz  - 2021.06,2021.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-888-plus
72,MediaTek Dimensity 8200,1229,8C @ 3100MHz  - 2022.12,2022.12,https://www.topcpu.net/cpu/mediatek-dimensity-8200
73,Qualcomm Snapdragon 7s Gen 4,1214,8C @ 2700MHz  - 2025.08,2025.08,https://www.topcpu.net/cpu/qualcomm-snapdragon-7s-gen-4
74,MediaTek Dimensity 7350,1195,8C @ 3000MHz  - 2024.07,2024.07,https://www.topcpu.net/cpu/mediatek-dimensity-7350
75,MediaTek Dimensity 7200,1192,8C @ 2800MHz  - 2023.02,2023.02,https://www.topcpu.net/cpu/mediatek-dimensity-7200
76,Qualcomm Snapdragon 6 Gen 5,1180,8C @ 2600MHz  - 2026.05,2026.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-6-gen-5
77,Qualcomm Snapdragon 7s Gen 3,1178,8C @ 2500MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/qualcomm-snapdragon-7s-gen-3
78,HiSilicon Kirin 9000E,1176,8C @ 3130MHz  - 2020.10,2020.10,https://www.topcpu.net/cpu/hisilicon-kirin-9000e
79,Samsung Exynos 1480,1168,8C @ 2750MHz  - 2024.03,2024.03,https://www.topcpu.net/cpu/samsung-exynos-1480
80,Qualcomm Snapdragon 865 Plus,1163,8C @ 3100MHz  - 2020.07,2020.07,https://www.topcpu.net/cpu/qualcomm-snapdragon-865-plus
81,Qualcomm Snapdragon 870,1151,8C @ 3200MHz  - 2021.01,2021.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-870
82,MediaTek Dimensity 8100,1145,8C @ 2850MHz  - 2022.03,2022.03,https://www.topcpu.net/cpu/mediatek-dimensity-8100
83,Qualcomm Snapdragon 7 Gen 3,1139,8C @ 2630MHz  - 2023.11,2023.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-7-gen-3
84,MediaTek Dimensity 7200 Ultra,1134,8C @ 2800MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/mediatek-dimensity-7200-ultra
85,Qualcomm Snapdragon 6 Gen 4,1130,8C @ 2300MHz  - 2025.02,2025.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-6-gen-4
86,MediaTek Dimensity 7500,1130,8C @ 2600MHz  - 2026.05,2026.05,https://www.topcpu.net/cpu/mediatek-dimensity-7500
87,Qualcomm Snapdragon 865,1128,8C @ 2840MHz  - 2019.12,2019.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-865
88,Qualcomm Snapdragon 782G,1127,8C @ 2700MHz  - 2022.11,2022.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-782g
89,MediaTek Dimensity 8020,1124,8C @ 2600MHz  - 2023.04,2023.04,https://www.topcpu.net/cpu/mediatek-dimensity-8020
90,MediaTek Dimensity 8050,1119,8C @ 3000MHz  - 2023.05,2023.05,https://www.topcpu.net/cpu/mediatek-dimensity-8050
91,MediaTek Dimensity 1200,1118,8C @ 3000MHz  - 2021.01,2021.01,https://www.topcpu.net/cpu/mediatek-dimensity-1200
92,MediaTek Dimensity 1100,1107,8C @ 2600MHz  - 2021.01,2021.01,https://www.topcpu.net/cpu/mediatek-dimensity-1100
93,Apple A11 Bionic,1097,6C @ 2390MHz  - 2017.09,2017.09,https://www.topcpu.net/cpu/apple-a11-bionic
94,MediaTek Dimensity 7450,1071,8C @ 2600MHz  - 2026.04,2026.04,https://www.topcpu.net/cpu/mediatek-dimensity-7450
95,Qualcomm Snapdragon 778G Plus,1069,8C @ 2500MHz  - 2021.10,2021.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-778g-plus
96,MediaTek Dimensity 7400,1061,8C @ 2600MHz  - 2025.02,2025.02,https://www.topcpu.net/cpu/mediatek-dimensity-7400
97,MediaTek Dimensity 7300,1058,8C @ 2500MHz  - 2024.06,2024.06,https://www.topcpu.net/cpu/mediatek-dimensity-7300
98,MediaTek Dimensity 7030,1051,8C @ 2500MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/mediatek-dimensity-7030
99,Qualcomm Snapdragon 780G,1045,8C @ 2400MHz  - 2021.03,2021.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-780g
100,MediaTek Dimensity 1000 Plus,1040,8C @ 2600MHz  - 2020.05,2020.05,https://www.topcpu.net/cpu/mediatek-dimensity-1000-plus
101,Qualcomm Snapdragon 855 Plus,1040,8C @ 2960MHz  - 2019.07,2019.07,https://www.topcpu.net/cpu/qualcomm-snapdragon-855-plus
102,MediaTek Dimensity 1000 Plus,1031,8C @ 2600MHz  - 2020.05,2020.05,https://www.topcpu.net/cpu/mediatek-dimensity-1000-plus
103,MediaTek Dimensity 7025,1024,8C @ 2500MHz  - 2024.04,2024.04,https://www.topcpu.net/cpu/mediatek-dimensity-7025
104,Qualcomm Snapdragon 6 Gen 3,1021,8C @ 2400MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-6-gen-3
105,MediaTek Dimensity 7360,1017,8C @ 2500MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/mediatek-dimensity-7360
106,Qualcomm Snapdragon 7s Gen 2,1012,8C @ 2400MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-7s-gen-2
107,MediaTek Dimensity 7060,1009,8C @ 2600MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/mediatek-dimensity-7060
108,Qualcomm Snapdragon 6s Gen 4,1008,8C @ 2400MHz  - 2025.10,2025.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-6s-gen-4
