排名,名称,Cinebench_R23_多核跑分,核心数,线程数,频率,上市时间,详情页
502,AMD Ryzen 3 5300G,7399,4,8,4.0GHz,2021.04,https://www.topcpu.net/cpu/amd-ryzen-3-5300g
503,Intel Core i7 10850H,7392,6,12,2.7GHz,2020.04,https://www.topcpu.net/cpu/intel-core-i7-10850h
504,Intel Core i5 10500T,7375,6,12,2.3GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10500t
505,AMD Ryzen 7 4700U,7341,8,8,2.0GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-7-4700u
506,Intel Core i5 1245U,7341,10,12,1.6GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i5-1245u
507,Intel Core i7 1250U,7329,10,12,1.1GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i7-1250u
508,Intel Core i7 6850K,7282,6,12,3.6GHz,2016.05,https://www.topcpu.net/cpu/intel-core-i7-6850k
509,Intel Core i7 10750H,7269,6,12,2.6GHz,2020.04,https://www.topcpu.net/cpu/intel-core-i7-10750h
510,Intel Core i7 7800X,7269,6,12,3.5GHz,2017.05,https://www.topcpu.net/cpu/intel-core-i7-7800x
511,Intel Core i5 9600KF,7218,6,6,3.7GHz,2019.01,https://www.topcpu.net/cpu/intel-core-i5-9600kf
512,AMD Ryzen 5 Pro 5650U,7106,6,12,2.3GHz,2021.03,https://www.topcpu.net/cpu/amd-ryzen-5-pro-5650u
513,AMD Ryzen 5 2600,7101,6,12,3.4GHz,2018.09,https://www.topcpu.net/cpu/amd-ryzen-5-2600
514,Intel Core i7 8700,7068,6,12,3.2GHz,2017.10,https://www.topcpu.net/cpu/intel-core-i7-8700
515,AMD Ryzen 5 5500U,7059,6,12,2.1GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-5-5500u
516,Intel Core i7 9850H,6912,6,12,2.6GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i7-9850h
517,Intel Core i9 8950HK,6912,6,12,2.9GHz,2018.04,https://www.topcpu.net/cpu/intel-core-i9-8950hk
