排名,名称,跑分,规格,上市时间,详情页
85,Qualcomm Snapdragon 6 Gen 4,684046,8C @ 2300MHz  - 2025.02,2025.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-6-gen-4
86,MediaTek Dimensity 7300,677247,8C @ 2500MHz  - 2024.06,2024.06,https://www.topcpu.net/cpu/mediatek-dimensity-7300
87,Samsung Exynos 9825,668347,8C @ 2730MHz  - 2019.08,2019.08,https://www.topcpu.net/cpu/samsung-exynos-9825
88,HiSilicon Kirin 990 5G,665287,8C @ 2860MHz  - 2019.10,2019.10,https://www.topcpu.net/cpu/hisilicon-kirin-990-5g
89,HiSilicon Kirin 8000,653311,8C @ 2400MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/hisilicon-kirin-8000
90,Qualcomm Snapdragon 782G,649399,8C @ 2700MHz  - 2022.11,2022.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-782g
91,Samsung Exynos 9820,648880,8C @ 2730MHz  - 2018.11,2018.11,https://www.topcpu.net/cpu/samsung-exynos-9820
92,Apple A12 Bionic,643548,6C @ 2490MHz  - 2018.09,2018.09,https://www.topcpu.net/cpu/apple-a12-bionic
93,Qualcomm Snapdragon 860,636716,8C @ 2960MHz  - 2019.04,2019.04,https://www.topcpu.net/cpu/qualcomm-snapdragon-860
94,Qualcomm Snapdragon 778G Plus,616678,8C @ 2500MHz  - 2021.10,2021.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-778g-plus
95,Qualcomm Snapdragon 780G,599414,8C @ 2400MHz  - 2021.03,2021.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-780g
96,Qualcomm Snapdragon 7s Gen 2,598370,8C @ 2400MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-7s-gen-2
97,Qualcomm Snapdragon 7 Gen 1,595452,8C @ 2400MHz  - 2022.05,2022.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-7-gen-1
98,Samsung Exynos 1380,594469,8C @ 2400MHz  - 2023.02,2023.02,https://www.topcpu.net/cpu/samsung-exynos-1380
99,Qualcomm Snapdragon 855,592031,8C @ 2840MHz  - 2018.12,2018.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-855
100,HiSilicon Kirin 980,591752,8C @ 2600MHz  - 2018.08,2018.08,https://www.topcpu.net/cpu/hisilicon-kirin-980
101,MediaTek Dimensity 7100,584141,8C @ 2400MHz  - 2026.01,2026.01,https://www.topcpu.net/cpu/mediatek-dimensity-7100
102,Qualcomm Snapdragon 6 Gen 1,582743,8C @ 2200MHz  - 2022.09,2022.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-6-gen-1
103,MediaTek Dimensity 1000 Plus,582561,8C @ 2600MHz  - 2020.05,2020.05,https://www.topcpu.net/cpu/mediatek-dimensity-1000-plus
104,Qualcomm Snapdragon 6 Gen 3,570038,8C @ 2400MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-6-gen-3
105,Samsung Exynos 2100,567972,8C @ 2900MHz  - 2020.12,2020.12,https://www.topcpu.net/cpu/samsung-exynos-2100
106,MediaTek Dimensity 1050,564464,8C @ 2500MHz  - 2022.05,2022.05,https://www.topcpu.net/cpu/mediatek-dimensity-1050
107,Qualcomm Snapdragon 855 Plus,552687,8C @ 2960MHz  - 2019.07,2019.07,https://www.topcpu.net/cpu/qualcomm-snapdragon-855-plus
108,HiSilicon Kirin 8000A,547562,8C @ 2200MHz  - 2026.03,2026.03,https://www.topcpu.net/cpu/hisilicon-kirin-8000a
109,Qualcomm Snapdragon 6s Gen 4,543361,8C @ 2400MHz  - 2025.10,2025.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-6s-gen-4
110,MediaTek Dimensity 1080,537997,8C @ 2600MHz  - 2022.10,2022.10,https://www.topcpu.net/cpu/mediatek-dimensity-1080
111,Unisoc T9100,537196,8C @ 2700MHz  - 2025.03,2025.03,https://www.topcpu.net/cpu/unisoc-t9100
112,MediaTek Dimensity 7050,535270,8C @ 2600MHz  - 2023.05,2023.05,https://www.topcpu.net/cpu/mediatek-dimensity-7050
113,MediaTek Dimensity 920,531953,8C @ 2500MHz  - 2021.08,2021.08,https://www.topcpu.net/cpu/mediatek-dimensity-920
114,MediaTek Dimensity 1000 Plus,523574,8C @ 2600MHz  - 2020.05,2020.05,https://www.topcpu.net/cpu/mediatek-dimensity-1000-plus
115,MediaTek Dimensity 7030,522736,8C @ 2500MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/mediatek-dimensity-7030
116,MediaTek Dimensity 900,516049,8C @ 2400MHz  - 2021.05,2021.05,https://www.topcpu.net/cpu/mediatek-dimensity-900
